journal_name,category,if_2022,if_2023,if_2024
Annual Review of Public Health,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1)",21.87,20.8,20.7
REPORTS ON PROGRESS IN PHYSICS,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q1)",17.8,18.1,20.7
ANNALS OF THE RHEUMATIC DISEASES,RHEUMATOLOGY - SCIE(Q1),27.97,27.4,20.6
Annual Review of Biochemistry,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1),27.26,16.6,20.5
Cell Stem Cell,CELL BIOLOGY - SCIE(Q1),25.27,23.9,20.4
Lancet Microbe,INFECTIOUS DISEASES - SCIE(Q1),86.21,38.2,20.4
Environmental Chemistry Letters,"ENGINEERING, ENVIRONMENTAL - SCIE(Q1)",13.62,15.7,20.4
Bioactive Materials,"ENGINEERING, BIOMEDICAL - SCIE(Q1)",16.87,18.9,20.3
Nature Chemistry,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",24.27,21.8,20.2
Energy Storage Materials,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",20.83,20.4,20.2
JAMA Oncology,ONCOLOGY - SCIE(Q1),33.01,28.4,20.1
NATURE NEUROSCIENCE,NEUROSCIENCES - SCIE(Q1),28.77,25,20
Nature Synthesis,,,,20
TRENDS IN PHARMACOLOGICAL SCIENCES,PHARMACOLOGY & PHARMACY - SCIE(Q1),17.64,13.8,19.9
PSYCHOLOGICAL BULLETIN,PSYCHOLOGY - SCIE(Q1),23.03,22.4,19.8
Cellular & Molecular Immunology,IMMUNOLOGY - SCIE(Q1),22.1,24.1,19.8
Chem,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",25.83,23.5,19.6
Nature Microbiology,MICROBIOLOGY - SCIE(Q1),30.96,28.3,19.4
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,RESPIRATORY SYSTEM - SCIE(Q1),30.53,24.7,19.4
Nature Aging,,,,19.4
ADVANCES IN COLLOID AND INTERFACE SCIENCE,"CHEMISTRY, PHYSICAL - SCIE(Q1)",15.19,15.6,19.3
CLINICAL MICROBIOLOGY REVIEWS,MICROBIOLOGY - SCIE(Q1),50.13,36.8,19.3
IEEE-CAA Journal of Automatica Sinica,AUTOMATION & CONTROL SYSTEMS - SCIE(Q1),7.85,11.8,19.2
PhotoniX,OPTICS - SCIE(Q1),19.82,16.5,19.1
NATURE CELL BIOLOGY,CELL BIOLOGY - SCIE(Q1),28.21,21.3,19.1
Annual Review of Physiology,PHYSIOLOGY - SCIE(Q1),22.16,18.2,19.1
ADVANCED FUNCTIONAL MATERIALS,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",19.92,19,19
Annual Review of Marine Science,MARINE & FRESHWATER BIOLOGY - SCIE(Q1),16.56,17.3,18.9
Advanced Photonics,OPTICS - SCIE(Q1),13.58,17.3,18.8
INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,"ENGINEERING, MANUFACTURING - SCIE(Q1)",10.33,14,18.8
Cell Host & Microbe,VIROLOGY - SCIE(Q1),31.32,30.3,18.7
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q1)",24.31,23.6,18.6
Nature Physics,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q1)",19.68,19.6,18.4
Computational Visual Media,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE(Q1)",4.13,6.9,18.3
Nature Computational Science,,,,18.3
ACS Energy Letters,ELECTROCHEMISTRY - SCIE(Q1),23.99,22,18.2
Cyborg and Bionic Systems,,,,18.1
TRENDS IN CELL BIOLOGY,CELL BIOLOGY - SCIE(Q1),21.17,19,18.1
JAMA Pediatrics,PEDIATRICS - SCIE(Q1),26.8,26.1,18
Lancet Global Health,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1)",38.93,34.3,18
Nano Materials Science,,,,17.9
PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,"PHYSICS, NUCLEAR - SCIE(Q1)",12.43,9.6,17.9
Lancet Haematology,HEMATOLOGY - SCIE(Q1),30.15,24.7,17.7
Chinese Journal of Catalysis,"ENGINEERING, CHEMICAL - SCIE(Q1)",12.92,16.5,17.7
ACCOUNTS OF CHEMICAL RESEARCH,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",24.47,18.3,17.7
Psychological Science in the Public Interest,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI(Q1)",56.2,,17.6
ADVANCED DRUG DELIVERY REVIEWS,PHARMACOLOGY & PHARMACY - SCIE(Q1),17.87,16.1,17.6
Eco-Environment & Health,,,,17.6
Molecular Neurodegeneration,NEUROSCIENCES - SCIE(Q1),18.88,15.1,17.5
Matter,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",19.97,18.9,17.5
Trends in Cancer,ONCOLOGY - SCIE(Q1),19.16,18.4,17.5
PSYCHOTHERAPY AND PSYCHOSOMATICS,PSYCHIATRY - SCIE(Q1),25.62,22.8,17.4
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1)",35.3,33.9,17.3
PHARMACOLOGICAL REVIEWS,PHARMACOLOGY & PHARMACY - SCIE(Q1),18.92,21.1,17.3
TRENDS IN ECOLOGY & EVOLUTION,EVOLUTIONARY BIOLOGY - SCIE(Q1),20.59,16.8,17.3
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q1)",13.08,16.4,17.2
TRENDS IN COGNITIVE SCIENCES,NEUROSCIENCES - SCIE(Q1),24.48,19.9,17.2
STUDIES IN MYCOLOGY,MYCOLOGY - SCIE(Q1),25.73,16.5,17.1
JAMA Psychiatry,PSYCHIATRY - SCIE(Q1),25.91,25.8,17.1
National Science Review,MULTIDISCIPLINARY SCIENCES - SCIE(Q1),23.18,20.6,17.1
Nano Energy,"CHEMISTRY, PHYSICAL - SCIE(Q1)",19.07,17.6,17.1
eTransportation,TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE(Q1),13.66,11.9,17
Clinical and Molecular Hepatology,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1),8.34,8.9,16.9
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",16.82,16.6,16.9
International Journal of Educational Technology in Higher Education,EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q1),7.61,,16.7
Annual Review of Entomology,ENTOMOLOGY - SCIE(Q1),22.68,23.8,16.7
DIABETES CARE,ENDOCRINOLOGY & METABOLISM - SCIE(Q1),17.15,16.2,16.6
Journal of Advanced Ceramics,"MATERIALS SCIENCE, CERAMICS - SCIE(Q1)",11.53,16.9,16.6
Molecular Cell,CELL BIOLOGY - SCIE(Q1),19.33,16,16.6
CANCER RESEARCH,ONCOLOGY - SCIE(Q1),13.31,11.2,16.6
Annual Review of Clinical Psychology,PSYCHOLOGY - SCIE(Q1),22.1,18.4,16.5
Academy of Management Annals,MANAGEMENT - SSCI(Q1),19.24,,16.5
