journal_name,category,if_2022,if_2023,if_2024
Journal of Sport Psychology in Action,"PSYCHOLOGY, APPLIED - ESCI(Q3)",,,1.4
MOLECULAR VISION,OPHTHALMOLOGY - SCIE(Q3),2.71,2.2,1.4
Neurochirurgie,SURGERY - SCIE(Q3),1.73,1.6,1.4
Open Praxis,EDUCATION & EDUCATIONAL RESEARCH - ESCI(Q2),,,1.4
ACCOUNTING AND BUSINESS RESEARCH,"BUSINESS, FINANCE - SSCI(Q3)",2.33,,1.4
International Journal for Multiscale Computational Engineering,"ENGINEERING, MULTIDISCIPLINARY - SCIE(Q3)",1.59,1.4,1.4
Journal of Animal Behaviour and Biometeorology,"AGRICULTURE, DAIRY & ANIMAL SCIENCE - ESCI(Q3)",,,1.4
PEDIATRIC TRANSPLANTATION,PEDIATRICS - SCIE(Q3),1.55,1.3,1.4
QUARTERLY JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE(Q3)",1.56,1.5,1.4
South African Geographical Journal,GEOGRAPHY - SSCI(Q2),1.66,,1.4
Surgical Infections,SURGERY - SCIE(Q3),1.85,2,1.4
Australian Health Review,HEALTH POLICY & SERVICES - SSCI(Q4),1.84,1.8,1.4
Evolutionary Behavioral Sciences,BEHAVIORAL SCIENCES - ESCI(Q3),,,1.4
Journal of Clinical Sport Psychology,"PSYCHOLOGY, APPLIED - SSCI(Q3)",1.97,,1.4
JOURNAL OF MATHEMATICAL PHYSICS,"PHYSICS, MATHEMATICAL - SCIE(Q3)",1.47,1.3,1.4
NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,NUCLEAR SCIENCE & TECHNOLOGY - SCIE(Q3),1.34,1.4,1.4
PHYCOLOGIA,MARINE & FRESHWATER BIOLOGY - SCIE(Q3),3.09,1.6,1.4
FINANCE AND STOCHASTICS,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE(Q2)",2.1,1.7,1.4
International Journal of Mental Health Promotion,PSYCHIATRY - SSCI(Q3),1.09,,1.4
Journal of Borderlands Studies,GEOGRAPHY - ESCI(Q2),,,1.4
Journal of Personnel Psychology,"PSYCHOLOGY, APPLIED - SSCI(Q3)",1.63,,1.4
Journal of the Intensive Care Society,,,,1.4
Journal of the Turkish-German Gynecological Association,OBSTETRICS & GYNECOLOGY - ESCI(Q3),,,1.4
FORMAL ASPECTS OF COMPUTING,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE(Q3)",0.89,1,1.4
HIGH ALTITUDE MEDICINE & BIOLOGY,BIOPHYSICS - SCIE(Q3),2.18,2.1,1.4
Iranian Journal of Science,,,,1.4
ISRA International Journal of Islamic Finance,"BUSINESS, FINANCE - ESCI(Q3)",,,1.4
JOURNAL OF BIOLOGICAL EDUCATION,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE(Q2)",1.34,1.1,1.4
Journal of Zoological and Botanical Gardens,,,,1.4
OPTIMIZATION METHODS & SOFTWARE,"MATHEMATICS, APPLIED - SCIE(Q2)",1.83,2.2,1.4
Revista de Educacion,EDUCATION & EDUCATIONAL RESEARCH - SSCI(Q2),1.22,,1.4
Annals of Transplantation,TRANSPLANTATION - SCIE(Q3),1.48,1.1,1.4
Fottea,PLANT SCIENCES - SCIE(Q3),2.43,2.2,1.4
International Journal of Aeronautical and Space Sciences,"ENGINEERING, AEROSPACE - SCIE(Q3)",1.23,1.7,1.4
International Journal of System Assurance Engineering and Management,"ENGINEERING, MULTIDISCIPLINARY - ESCI(Q3)",,,1.4
JOURNAL OF LABOR RESEARCH,INDUSTRIAL RELATIONS & LABOR - SSCI(Q3),1.03,,1.4
JOURNAL OF MANIPULATIVE AND PHYSIOLOGICAL THERAPEUTICS,REHABILITATION - SCIE(Q3),1.3,1.3,1.4
LARYNGO-RHINO-OTOLOGIE,OTORHINOLARYNGOLOGY - SCIE(Q2),1.61,1,1.4
On the Horizon,EDUCATION & EDUCATIONAL RESEARCH - ESCI(Q2),,,1.4
Willdenowia,PLANT SCIENCES - SCIE(Q3),1.46,1.9,1.4
CANADIAN PUBLIC ADMINISTRATION-ADMINISTRATION PUBLIQUE DU CANADA,PUBLIC ADMINISTRATION - SSCI(Q3),0.98,,1.4
Case Studies in Sport and Exercise Psychology,,,,1.4
Cognitive Processing,"PSYCHOLOGY, EXPERIMENTAL - SSCI(Q4)",1.52,,1.4
Community Development,DEVELOPMENT STUDIES - ESCI(Q3),,,1.4
European Clinical Respiratory Journal,RESPIRATORY SYSTEM - ESCI(Q3),,,1.4
FISHERIES SCIENCE,FISHERIES - SCIE(Q3),2.15,1.9,1.4
FOREST SCIENCE,FORESTRY - SCIE(Q3),1.74,1.4,1.4
GULF AND CARIBBEAN RESEARCH,MARINE & FRESHWATER BIOLOGY - ESCI(Q3),,,1.4
International Journal of AEROSPACE Psychology,"PSYCHOLOGY, APPLIED - SSCI(Q3)",0.61,,1.4
International Journal of Occupational Medicine and Environmental Health,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q3)",1.83,2,1.4
Journal of Behavioral and Experimental Economics,ECONOMICS - SSCI(Q3),1.83,,1.4
JOURNAL OF ELASTICITY,"ENGINEERING, MULTIDISCIPLINARY - SCIE(Q3)",1.74,2,1.4
JOURNAL OF ENGINEERING MATHEMATICS,"ENGINEERING, MULTIDISCIPLINARY - SCIE(Q3)",1.44,1.3,1.4
Noise & Health,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE(Q3),1.29,0.7,1.4
THORACIC AND CARDIOVASCULAR SURGEON,SURGERY - SCIE(Q3),1.76,1.5,1.4
BOTANICA MARINA,PLANT SCIENCES - SCIE(Q3),2.1,2.2,1.4
ECOLOGICAL RESEARCH,ECOLOGY - SCIE(Q3),2.06,2,1.4
IEEE COMPUTER GRAPHICS AND APPLICATIONS,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE(Q3)",1.91,1.8,1.4
International Journal for Computational Methods in Engineering Science & Mechanics,MECHANICS - ESCI(Q3),,,1.4
INTERNATIONAL JOURNAL OF AUDITING,"BUSINESS, FINANCE - SSCI(Q3)",2.35,,1.4
JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS,ECONOMICS - SSCI(Q3),1.83,1.4,1.4
ONCOLOGY NURSING FORUM,NURSING - SSCI(Q3),1.8,1.9,1.4
SCIENCE OF COMPUTER PROGRAMMING,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - SCIE(Q3)",1.04,1.3,1.4
Social Theory & Health,"SOCIAL SCIENCES, BIOMEDICAL - SSCI(Q3)",2.12,,1.4
Brain Hemorrhages,,,,1.4
Clinical Psychologist,"PSYCHOLOGY, CLINICAL - SSCI(Q3)",2.13,1.5,1.4
INTERNATIONAL JOURNAL OF INDUSTRIAL ORGANIZATION,ECONOMICS - SSCI(Q3),1.74,,1.4
Journal of Berry Research,PLANT SCIENCES - SCIE(Q3),2.16,1.7,1.4
JOURNAL OF FRESHWATER ECOLOGY,LIMNOLOGY - SCIE(Q3),1.63,1.3,1.4
JOURNAL OF REGULATORY ECONOMICS,ECONOMICS - SSCI(Q3),1.55,,1.4
Journal of Sustainable Water in the Built Environment,WATER RESOURCES - ESCI(Q4),,,1.4
MOTOR CONTROL,NEUROSCIENCES - SCIE(Q3),1.54,1.1,1.4
PHASE TRANSITIONS,CRYSTALLOGRAPHY - SCIE(Q3),1.53,1.6,1.4
QUANTITATIVE FINANCE,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE(Q3)",1.99,1.3,1.4
SYNLETT,"CHEMISTRY, ORGANIC - SCIE(Q3)",2.17,2,1.4
Aboriginal Policy Studies,"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI(Q2)",,,1.4
Erwerbs-Obstbau,HORTICULTURE - SCIE(Q3),1.21,1.3,1.4
Journal of Cognitive Enhancement,NEUROSCIENCES - ESCI(Q4),,,1.4
Journal of Motor Learning and Development,"PSYCHOLOGY, DEVELOPMENTAL - ESCI(Q3)",,,1.4
Journal of Ultrasound,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI(Q3)",,,1.4
KOREAN JOURNAL OF PARASITOLOGY,PARASITOLOGY - SCIE(Q3),1.78,,1.4
MARINE GEODESY,OCEANOGRAPHY - SCIE(Q3),1.58,1.6,1.4
Sexual and Relationship Therapy,"PSYCHOLOGY, CLINICAL - SSCI(Q3)",1.73,,1.4
Turkish Journal of Orthodontics,"DENTISTRY, ORAL SURGERY & MEDICINE - ESCI(Q3)",,,1.4
AFRICAN JOURNAL OF MARINE SCIENCE,MARINE & FRESHWATER BIOLOGY - SCIE(Q3),0.89,1.2,1.4
BioInvasions Records,BIODIVERSITY CONSERVATION - SCIE(Q3),1.67,1.4,1.4
GEO-MARINE LETTERS,OCEANOGRAPHY - SCIE(Q3),2.27,2.1,1.4
Global Health & Medicine,,,,1.4
INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT,"ENGINEERING, MULTIDISCIPLINARY - SCIE(Q3)",1.53,2.8,1.4
Journal of Thermal Science and Engineering Applications,THERMODYNAMICS - SCIE(Q3),1.88,2.1,1.4
Journal of X-Ray Science and Technology,INSTRUMENTS & INSTRUMENTATION - SCIE(Q3),2.44,3,1.4
Ocean Science Journal,MARINE & FRESHWATER BIOLOGY - SCIE(Q3),1.04,1.3,1.4
SADHANA-ACADEMY PROCEEDINGS IN ENGINEERING SCIENCES,"ENGINEERING, MULTIDISCIPLINARY - SCIE(Q3)",1.21,1.6,1.4
Transplant Immunology,TRANSPLANTATION - SCIE(Q3),2.03,1.5,1.4
ACTA ACUSTICA,ACOUSTICS - SCIE(Q3),1.36,1.4,1.4
ACTA OCEANOLOGICA SINICA,OCEANOGRAPHY - SCIE(Q3),1.37,1.4,1.4
American Journal of Clinical and Experimental Urology,UROLOGY & NEPHROLOGY - ESCI(Q3),,,1.4
CHINESE JOURNAL OF GEOPHYSICS-CHINESE EDITION,GEOCHEMISTRY & GEOPHYSICS - SCIE(Q3),1.06,1.4,1.4
COLLEGE & RESEARCH LIBRARIES,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI(Q2),1.81,,1.4
EUROPEAN REVIEW OF APPLIED PSYCHOLOGY-REVUE EUROPEENNE DE PSYCHOLOGIE APPLIQUEE,"PSYCHOLOGY, APPLIED - SSCI(Q3)",1.2,,1.4
Gastroenterology Research and Practice,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q4),1.92,2,1.4
International Journal of Managerial and Financial Accounting,"BUSINESS, FINANCE - ESCI(Q3)",,,1.4
Journal of the Korean Academy of Child and Adolescent Psychiatry,PSYCHIATRY - ESCI(Q3),,,1.4
New Medit,"AGRICULTURE, MULTIDISCIPLINARY - SCIE(Q2)",1.41,1,1.4
Tropical Plant Biology,PLANT SCIENCES - SCIE(Q3),1.51,2,1.4
Brain Impairment,REHABILITATION - SCIE(Q3),1.14,0.8,1.4
CELESTIAL MECHANICS & DYNAMICAL ASTRONOMY,ASTRONOMY & ASTROPHYSICS - SCIE(Q3),1.6,1.6,1.4
Consulting Psychology Journal-Practice and Research,"PSYCHOLOGY, APPLIED - ESCI(Q3)",,,1.4
JOMR-Journal of Oral & Maxillofacial Research,,,,1.4
Journal of Asset Management,"BUSINESS, FINANCE - ESCI(Q3)",,,1.4
LICHENOLOGIST,PLANT SCIENCES - SCIE(Q3),1.65,1.4,1.4
Optics Continuum,,,,1.4
Physics Open,,,,1.4
BIOMECHANICS,,,,1.4
H2Open Journal,WATER RESOURCES - ESCI(Q4),,,1.4
Journal of Clinical Virology Plus,,,,1.4
Journal of Laboratory and Precision Medicine,,,,1.4
Journal of Yeungnam Medical Science,,,,1.4
Jurnal Tribologi,"ENGINEERING, MECHANICAL - ESCI(Q3)",,,1.4
LASER PHYSICS LETTERS,OPTICS - SCIE(Q3),1.7,1.7,1.4
Library Management,INFORMATION SCIENCE & LIBRARY SCIENCE - ESCI(Q2),,,1.4
MYCOSCIENCE,MYCOLOGY - SCIE(Q4),1.33,1.4,1.4
Review of International Economics,ECONOMICS - SSCI(Q3),1.23,,1.4
Sensor Review,INSTRUMENTS & INSTRUMENTATION - SCIE(Q3),1.54,1.6,1.4
South Asian Journal of Business Studies,BUSINESS - ESCI(Q3),,,1.4
THEORY IN BIOSCIENCES,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE(Q3),1.32,1.1,1.4
Analytical and Bioanalytical Chemistry Research,"CHEMISTRY, ANALYTICAL - ESCI(Q4)",,,1.4
Anatolia-International Journal of Tourism and Hospitality Research,"HOSPITALITY, LEISURE, SPORT & TOURISM - ESCI(Q3)",,,1.4
Biophysica,,,,1.4
Econometrics,ECONOMICS - ESCI(Q3),,,1.4
Educational Psychology in Practice,"PSYCHOLOGY, EDUCATIONAL - ESCI(Q3)",,,1.4
German Economic Review,ECONOMICS - SSCI(Q3),1.32,,1.4
HEALTH PHYSICS,NUCLEAR SCIENCE & TECHNOLOGY - SCIE(Q3),2.92,2.2,1.4
Information Security Journal,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI(Q3)",,,1.4
INTERNATIONAL JOURNAL OF MARKET RESEARCH,BUSINESS - SSCI(Q3),2.51,,1.4
Journal of Applied Corporate Finance,"BUSINESS, FINANCE - ESCI(Q3)",,,1.4
Journal of Research in Health Sciences,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI(Q3)",,,1.4
Lifestyle Genomics,GENETICS & HEREDITY - SCIE(Q4),2.06,2.6,1.4
NEW ZEALAND JOURNAL OF ECOLOGY,ECOLOGY - SCIE(Q3),2.51,1.6,1.4
Phytochemistry Letters,PLANT SCIENCES - SCIE(Q3),1.87,1.7,1.4
PLANT MOLECULAR BIOLOGY REPORTER,PLANT SCIENCES - SCIE(Q3),1.82,2.1,1.4
PROTEIN JOURNAL,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q4),4.0,3,1.4
Revista Brasileira de Ginecologia e Obstetricia,OBSTETRICS & GYNECOLOGY - ESCI(Q3),,,1.4
RISK MANAGEMENT AND INSURANCE REVIEW,,,,1.4
Social Marketing Quarterly,BUSINESS - ESCI(Q3),,,1.4
South African Family Practice,"MEDICINE, GENERAL & INTERNAL - ESCI(Q2)",,,1.4
WELDING JOURNAL,METALLURGY & METALLURGICAL ENGINEERING - SCIE(Q3),2.22,2.2,1.4
ZYGOTE,REPRODUCTIVE BIOLOGY - SCIE(Q4),1.82,1.7,1.4
Cancer Radiotherapie,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE(Q3)",1.22,1.3,1.4
Contemporary Clinical Trials Communications,"MEDICINE, RESEARCH & EXPERIMENTAL - ESCI(Q4)",,,1.4
European Journal of Economics and Economic Policies-Intervention,ECONOMICS - ESCI(Q3),,,1.4
INTERNATIONAL TAX AND PUBLIC FINANCE,ECONOMICS - SSCI(Q3),1.29,,1.4
Journal of Cryptographic Engineering,"COMPUTER SCIENCE, THEORY & METHODS - SCIE(Q3)",1.59,1.9,1.4
JOURNAL OF NIPPON MEDICAL SCHOOL,"MEDICINE, GENERAL & INTERNAL - SCIE(Q2)",1.12,1,1.4
Journal of Object Technology,"COMPUTER SCIENCE, SOFTWARE ENGINEERING - ESCI(Q3)",,,1.4
MEDICINE,"MEDICINE, GENERAL & INTERNAL - SCIE(Q2)",1.82,1.6,1.4
Saudi Journal of Anaesthesia,ANESTHESIOLOGY - ESCI(Q3),,,1.4
Advances in Virology,VIROLOGY - ESCI(Q4),,,1.4
COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS,PLANT SCIENCES - SCIE(Q3),1.58,1.8,1.4
International Journal of Web and Grid Services,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE(Q3)",0.83,1,1.4
JOURNAL OF ECONOMICS & MANAGEMENT STRATEGY,ECONOMICS - SSCI(Q3),2.25,,1.4
Journal of the Korean Association of Oral and Maxillofacial Surgeons,"DENTISTRY, ORAL SURGERY & MEDICINE - ESCI(Q3)",,,1.4
Journal of Water Sanitation and Hygiene for Development,WATER RESOURCES - SCIE(Q4),1.79,1.7,1.4
PLANT PROTECTION SCIENCE,PLANT SCIENCES - SCIE(Q3),1.41,1.3,1.4
Tehnicki Vjesnik-Technical Gazette,"ENGINEERING, MULTIDISCIPLINARY - SCIE(Q3)",0.86,0.9,1.4
ACTA NEUROBIOLOGIAE EXPERIMENTALIS,NEUROSCIENCES - SCIE(Q4),1.27,1.4,1.4
Egyptian Heart Journal,CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI(Q3),,,1.4
Future Virology,VIROLOGY - SCIE(Q4),3.02,3.1,1.4
IFLA JOURNAL-INTERNATIONAL FEDERATION OF LIBRARY ASSOCIATIONS,INFORMATION SCIENCE & LIBRARY SCIENCE - ESCI(Q2),,,1.4
INTERNATIONAL ANGIOLOGY,PERIPHERAL VASCULAR DISEASE - SCIE(Q4),2.1,1.4,1.4
Iranian Journal of Science and Technology-Transactions of Electrical Engineering,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q4)",1.89,2.4,1.4
Journal of Building Physics,CONSTRUCTION & BUILDING TECHNOLOGY - SCIE(Q3),2.69,2,1.4
NUTRITION AND HEALTH,,,,1.4
Obstetrician & Gynaecologist,OBSTETRICS & GYNECOLOGY - ESCI(Q3),,,1.4
OIL SHALE,"ENGINEERING, PETROLEUM - SCIE(Q2)",1.44,1.9,1.4
Periodica Polytechnica-Civil Engineering,"ENGINEERING, CIVIL - SCIE(Q3)",1.66,1.8,1.4
Smart Science,MULTIDISCIPLINARY SCIENCES - ESCI(Q3),,,1.4
South African Journal of Economic and Management Sciences,ECONOMICS - SSCI(Q3),0.84,,1.4
South Asian Journal of Human Resource Management,MANAGEMENT - ESCI(Q3),,,1.4
Sport Marketing Quarterly,"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI(Q3)",2.4,,1.4
Academia-Revista Latinoamericana de Administracion,BUSINESS - SSCI(Q3),1.37,,1.4
American Journal of Cardiovascular Disease,CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI(Q3),,,1.4
ASME Open Journal of Engineering,,,,1.4
BIOTECHNOLOGY & BIOTECHNOLOGICAL EQUIPMENT,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q4),1.76,1.4,1.4
ECHOCARDIOGRAPHY-A JOURNAL OF CARDIOVASCULAR ULTRASOUND AND ALLIED TECHNIQUES,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q3),1.87,1.5,1.4
INTERNATIONAL JOURNAL OF MEDICINAL MUSHROOMS,PHARMACOLOGY & PHARMACY - SCIE(Q4),1.71,1.2,1.4
JOURNAL OF CLINICAL ULTRASOUND,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE(Q3)",0.87,0.9,1.4
MAGNETIC RESONANCE IN CHEMISTRY,SPECTROSCOPY - SCIE(Q3),2.39,2,1.4
Revista de Investigacion Clinica-Clinical and Translational Investigation,"MEDICINE, GENERAL & INTERNAL - SCIE(Q2)",2.67,1.4,1.4
Revista Icono 14-Revista Cientifica de Comunicacion y Tecnologias,COMMUNICATION - ESCI(Q2),,,1.4
Journal of Business & Finance Librarianship,INFORMATION SCIENCE & LIBRARY SCIENCE - ESCI(Q2),,,1.4
JOURNAL OF INVASIVE CARDIOLOGY,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q3),1.71,1.5,1.4
Molecular Cytogenetics,GENETICS & HEREDITY - SCIE(Q4),1.9,1.3,1.4
Papers in Physics,"PHYSICS, MULTIDISCIPLINARY - ESCI(Q3)",,,1.4
PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-STRUCTURES AND BUILDINGS,"ENGINEERING, CIVIL - SCIE(Q3)",1.53,1.6,1.4
Cardiology Research,CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI(Q3),,,1.4
Clinical Medicine & Research,"MEDICINE, GENERAL & INTERNAL - ESCI(Q2)",,,1.4
CURRENT GENOMICS,GENETICS & HEREDITY - SCIE(Q4),2.69,2.6,1.4
Diabetes Epidemiology and Management,,,,1.4
Economic Notes,ECONOMICS - ESCI(Q3),,,1.4
IEEE Computer Architecture Letters,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE(Q4)",2.12,2.3,1.4
Indian Geotechnical Journal,"ENGINEERING, GEOLOGICAL - ESCI(Q3)",,,1.4
International Journal of Hepatology,GASTROENTEROLOGY & HEPATOLOGY - ESCI(Q4),,,1.4
INTERNATIONAL JOURNAL OF LEARNING AND INTELLECTUAL CAPITAL,,,,1.4
JOURNAL OF HEURISTICS,"COMPUTER SCIENCE, THEORY & METHODS - SCIE(Q3)",2.25,2.7,1.4
Mediterranean Journal of Rheumatology,,,,1.4
REVISTA CHILENA DE HISTORIA NATURAL,BIODIVERSITY CONSERVATION - SCIE(Q3),1.73,2.2,1.4
TRANSFUSION MEDICINE,HEMATOLOGY - SCIE(Q3),2.06,1.5,1.4
ANALOG INTEGRATED CIRCUITS AND SIGNAL PROCESSING,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE(Q4)",1.32,1.4,1.4
Astrophysical Bulletin,ASTRONOMY & ASTROPHYSICS - SCIE(Q3),1.02,1.2,1.4
Biopreservation and Biobanking,MEDICAL LABORATORY TECHNOLOGY - SCIE(Q3),2.26,1.6,1.4
CLEAN-Soil Air Water,MARINE & FRESHWATER BIOLOGY - SCIE(Q3),2.4,1.7,1.4
Current Sports Medicine Reports,SPORT SCIENCES - SCIE(Q3),2.67,1.8,1.4
Data in Brief,MULTIDISCIPLINARY SCIENCES - ESCI(Q3),,,1.4
Development in Practice,DEVELOPMENT STUDIES - ESCI(Q3),,,1.4
IET Networks,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI(Q3)",,,1.4
International Journal of Food Engineering,FOOD SCIENCE & TECHNOLOGY - SCIE(Q4),1.83,1.6,1.4
Journal of Location Based Services,TELECOMMUNICATIONS - ESCI(Q4),,,1.4
JOURNAL OF PRESSURE VESSEL TECHNOLOGY-TRANSACTIONS OF THE ASME,"ENGINEERING, MECHANICAL - SCIE(Q3)",1.05,1,1.4
Journal of Tourism Sustainability and Well-being,,,,1.4
NEW ZEALAND JOURNAL OF BOTANY,PLANT SCIENCES - SCIE(Q3),1.02,0.9,1.4
PHYSICAL GEOGRAPHY,"GEOGRAPHY, PHYSICAL - SCIE(Q3)",2.08,1.6,1.4
SA Journal of Human Resource Management,MANAGEMENT - ESCI(Q3),,,1.4
South African Journal of Accounting Research,"BUSINESS, FINANCE - ESCI(Q3)",,,1.4
IET Signal Processing,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q4)",1.82,1.7,1.4
International Journal of Online and Biomedical Engineering,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI(Q4)",,,1.4
Journal of Dynamic Behavior of Materials,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING - ESCI(Q3)",,,1.4
PSYCHIATRIC GENETICS,GENETICS & HEREDITY - SCIE(Q4),2.57,0.9,1.4
Review of Financial Economics,"BUSINESS, FINANCE - ESCI(Q3)",,,1.4
Top,OPERATIONS RESEARCH & MANAGEMENT SCIENCE - SCIE(Q4),1.86,1.7,1.4
COLOR RESEARCH AND APPLICATION,"CHEMISTRY, APPLIED - SCIE(Q3)",1.67,1.4,1.4
Journal of Applied Glycoscience,BIOCHEMISTRY & MOLECULAR BIOLOGY - ESCI(Q4),,,1.4
Journal of Applied Remote Sensing,ENVIRONMENTAL SCIENCES - SCIE(Q3),1.57,1.7,1.4
Journal of Macromolecular Science Part B-Physics,POLYMER SCIENCE - SCIE(Q4),1.37,1.4,1.4
Journal of Sport for Development,,,,1.4
Manufacturing Technology,,,,1.4
Molecular & Cellular Toxicology,TOXICOLOGY - SCIE(Q4),1.72,1.7,1.4
Postepy w Kardiologii Interwencyjnej,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q3),1.07,1.3,1.4
BIOTECHNIC & HISTOCHEMISTRY,CELL BIOLOGY - SCIE(Q4),1.83,1.6,1.4
European Journal of Industrial Engineering,OPERATIONS RESEARCH & MANAGEMENT SCIENCE - SCIE(Q4),1.22,1,1.4
Frontiers in Nuclear Medicine,,,,1.4
IEEE Magnetics Letters,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q4)",1.52,1.2,1.4
ISOTOPES IN ENVIRONMENTAL AND HEALTH STUDIES,"CHEMISTRY, INORGANIC & NUCLEAR - SCIE(Q4)",1.67,1.3,1.4
JOURNAL OF STRUCTURAL CHEMISTRY,"CHEMISTRY, PHYSICAL - SCIE(Q4)",1.0,0.8,1.4
Journal of Tropical Meteorology,METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE(Q4),0.75,1.2,1.4
Molecular and Clinical Oncology,ONCOLOGY - ESCI(Q4),,,1.4
Natural Product Communications,FOOD SCIENCE & TECHNOLOGY - SCIE(Q4),1.5,1.8,1.4
SOLID-STATE ELECTRONICS,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q4)",1.92,1.7,1.4
ACTA PHYSICA POLONICA B,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q3)",0.56,0.5,1.4
International Journal of Steel Structures,"ENGINEERING, CIVIL - SCIE(Q3)",1.54,1.5,1.4
IRISH JOURNAL OF AGRICULTURAL AND FOOD RESEARCH,,,,1.4
Journal of Philanthropy and Marketing,,,,1.4
Medizinische Genetik,GENETICS & HEREDITY - SCIE(Q4),0.84,1.1,1.4
Mires and Peat,ENVIRONMENTAL SCIENCES - SCIE(Q4),1.49,1.2,1.4
PETROLEUM SCIENCE AND TECHNOLOGY,"ENGINEERING, PETROLEUM - SCIE(Q2)",1.7,1.5,1.4
Applied Earth Science-Transactions of the Institutions of Mining and Metallurgy,"GEOSCIENCES, MULTIDISCIPLINARY - ESCI(Q3)",,,1.4
Journal of Clinical and Experimental Hematopathology,HEMATOLOGY - ESCI(Q3),,,1.4
Journal of Engineering Thermophysics,"ENGINEERING, MECHANICAL - SCIE(Q3)",2.04,2.4,1.4
Journal of Media Business Studies,BUSINESS - ESCI(Q3),,,1.4
Strategic Management,MANAGEMENT - ESCI(Q3),,,1.4
AIP Advances,"PHYSICS, APPLIED - SCIE(Q4)",1.7,1.6,1.4
ARP Rheumatology,,,,1.4
Integrative Biology,CELL BIOLOGY - SCIE(Q4),3.18,2.5,1.4
BIOREMEDIATION JOURNAL,ENVIRONMENTAL SCIENCES - SCIE(Q4),2.14,2,1.4
JOURNAL OF LOW TEMPERATURE PHYSICS,"PHYSICS, APPLIED - SCIE(Q4)",1.62,2,1.4
Korean Journal of Metals and Materials,METALLURGY & METALLURGICAL ENGINEERING - SCIE(Q3),1.32,1.2,1.4
OZONE-SCIENCE & ENGINEERING,ENVIRONMENTAL SCIENCES - SCIE(Q4),2.6,2.7,1.4
SOFT MATERIALS,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q4)",1.62,1.2,1.4
Turkish Journal of Physics,"PHYSICS, MULTIDISCIPLINARY - ESCI(Q3)",,,1.4
MEDICAL LETTER ON DRUGS AND THERAPEUTICS,PHARMACOLOGY & PHARMACY - SCIE(Q4),1.68,1.9,1.4
Polimeros-Ciencia e Tecnologia,POLYMER SCIENCE - SCIE(Q4),1.61,1.3,1.4
Structural Engineering International,CONSTRUCTION & BUILDING TECHNOLOGY - SCIE(Q3),1.18,1.1,1.4
